Guidance Document 	வழிகாட்டி ஆவணம்
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
1 |	1 |
Management Commitment	மேலாண்மைப் பொறுப்பு
1.1|	1.1 |
Regulatory Aspects	ஒழுங்குமுறை அம்சங்கள்
1.1.1|	1.1.1 |
3. Gaming Arcades/Children play areas (wherever applicable) shall remain closed till as advised.	3. (பொருந்தும் தன்மைப்படி) விளையாட்டு நடைகள்/ குழந்தைகள் விளையாடும் பகுதிகள் அடுத்த அறிவிப்பு வரை மூடப்படும்.
1.2|	1.2 |
Rapid Response Personnel	அதிவிரைவு எதிர்வினையாளர்
1.2.1|	1.2.1 |
2. Name, Designation and contact information of the nominated senior person shall be communicated to all concerned.	2. பரிந்துரைக்கப்பட்ட மூத்த அதிகாரியின் பெயர், பதவி மற்றும் அவரது தொடர்புத் தகவல்கள் சம்பந்தப்பட்ட அனைவருக்கும் தெரிவிக்கப்படும்.
3. The nominated person shall be responsible to prevent incidents, effectively manage cases and mitigate impact among guests, staff and other involved parties.	3. நியமிக்கப்பட்ட அதிகாரி, நோய்த் தாக்குதல்களைத் தடுக்கவும், பாதிக்கப்பட்டவர்களைத் திறம்படக் கையாளவும், விருந்தினர்கள்- ஊழியர்கள் மற்றும் தொடர்புடைய அனைவரிடமும் நோய்த்தாக்கத்தைக் குறைக்கவும் பொறுப்பேற்பார்.
1.3|	1.3 |
Adequacy of Resources	மூலவளங்களின் போதிய தன்மை
1.3.1|	1.3.1 |
- Thermal Gun thermometer for temperature checking of staff and guests at all entry points.	- அனைத்து நுழைவிடங்களிலும் ஊழியர்கள் மற்றும் விருந்தினர்களின் வெப்பநிலைச் சோதனைக்கான துப்பாக்கி வெப்பமானி.
- Hand-wash soap, Hand Sanitizers, Hand Gloves, Masks, coveralls (as needed)	- (தேவைக்கேற்ப) கை கழுவும் சோப்பு, கை சுத்திகரிப்பான்கள், கையுறைகள், முகமூடிகள், போர்த்தும் உடைகள்
- Garbage Bags (separate bio-hazard bags for used masks and other PPEs as per CPCB’s guidelines)	- குப்பைப் பைகள் (மத்தியஅரசு மாசுக்கட்டுப்பாட்டு வாரியத்தின் நெறிமுறைப்படி, பயன்படுத்தப்பட்ட முகமூடிகள் மற்றும் பிற தனிநபர் பாதுகாப்புக் கருவிகளுக்கான தனி அபாயப் பைகள்)
- Sufficient disinfectants like sodium hypochlorite (1%)	- சோடியம் ஹைபோகுளோரைட் (1%) போன்ற போதுமான கிருமிநாசினிகள்
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
2|	2 |
Hygiene & Sanitization	சுகாதாரமும் தூய்மைப்படுத்தலும்
2.1|	2.1 |
Restaurant sanitization	உணவகத் தூய்மைப்படுத்தல்
2.1.1|	2.1.1 |
Dining Area:	உணவருந்தும் இடம்:
1. Provide safe, sanitized and clinically clean environment to the visitors and staff.	1. வருகையாளர்களுக்கும் ஊழியர்களுக்கும் பாதுகாப் பான, சுத்திகரிக்கப்பட்ட, மருத்துவ ரீதியாகச் சுத்தமான சூழலை வழங்கவும்.
2. All major touch points, operating panels, seats, covers, toolbox etc. requiring human touch should be sanitized at an hourly frequency, or when needed, with effective sanitizers.	2. அனைத்து முக்கிய புழங்குமிடங்கள், நடக்கும் பேனல்கள், இருக்கைகள், இருக்கையுறைகள், கருவிப்பெட்டி போன்றவற்றை ஒரு மணிநேர இடைவெளியில் அல்லது தேவைப்படும்போது, ​​திறன்மிக்க சுத்திகரிப்பான்களால் தூய்மையாக்க வேண்டும்.
2.1.2|	2.1.2 |
Kitchen / Food Production Area:	சமையலறை / உணவு தயாரிக்கும் பகுதி:
It is recommended to follow the safety/sanitization measures mentioned below- for kitchen/ food preparation area:	சமையலறை / உணவு தயாரிக்கும் பகுதிக்கு கீழே குறிப்பிடப்பட்டுள்ள பாதுகாப்பு / தூய்மையாக்க நடவடிக்கைகள் பரிந்துரைக்கப்படுகின்றன:
1. Operational kitchens must be sanitized at regular intervals.	1. புழக்கத்திலுள்ள சமையலறைகள் சரியான கால இடைவெளியில் தூய்மையாக்கப்பட வேண்டும்.
2. Strict adherence to HAACP or ISO or FSSAI norms and guidelines for sanitization and hygiene in receiving, storing, and cooking of food items.	2. haacp (இடர்ப்பகுப்பாய்வு, முக்கியக் கட்டுப் பாட்டு இடங்கள் நிர்வாகம்) அல்லது iso (பன்னாட்டுத் தர நிறுவனம்) அல்லது fssai (இந்திய உணவுப் பாதுகாப்பு மற்றும் தர நிறுவனம்) இவற்றின் விதிமுறைகளின்படி உணவுப் பொருட்களைப் பெறுதல், சேமித்தல், சமைப்பதில் சுகாதாரம் மற்றும் சுகாதாரத்திற்கான நெறிமுறைகளைக் கண்டிப்பாக பின்பற்ற வேண்டும்.
3. Ensure all tools get sanitized regularly.	3. அனைத்துக் கருவிகளும் தவறாமல் தூய்மையாக் கப்படுவதை உறுதிசெய்ய வேண்டும.
4. Along with proper hand washing, food workers should use a barrier such as tongs, gloves or utensils to prevent direct hand contact with food (wherever possible).	4. முறையான கை கழுவுதலுடன், (முடிந்தவரை) உணவுப் பணியாளர்கள் உணவுடன் நேரடியாகத் தொடர்பு கொள்வதைத் தடுக்க, குறடுகள், கையுறை கள் அல்லது பாத்திரங்கள் போன்ற கருவிகளைப் பயன்படுத்த வேண்டும்.
5. Appropriate processes for handling perishable and non-perishable items may be instituted. Ready-to-eat food items may not be left open and handled appropriately.	5. கெட்டுப்போகக்கூடிய அன்றியும் கெடாத/அழுகாத பொருட்களைக் கையாள்வதற்கான பொருத்தமான நடைமுறைகளைப் பயன்படுத்த வேண்டும். சாப்பிடத் தயாரான உணவுப் பொருட்களைத் திறந்து வைக்கக் கூடாது, சரியான முறையில் கையாளவேண்டும்.
6. Keep foods separated to avoid cross contamination, e.g., keeping raw foods separated from cooked and ready-to-eat foods.	6. ஒன்றிலிருந்து ஒன்று மாசுபடுவதைத் தவிர்க்க உணவுகளை பிரித்து வைத்திருங்கள். உதாரணமாக, சமைத்த மற்றும் சாப்பிடத் தயாரான உணவுகளி லிருந்து சமைக்காத உணவுகளைப் பிரித்து வைத்திருங்கள்.
Bar Area (if applicable):	மதுவருந்தும் இடம் (பொருந்தினால்):
It is recommended to follow the bar safety/sanitization measures mentioned below:	கீழே குறிப்பிடப்பட்டுள்ள மது அருந்துமிடப் பாதுகாப்பு / தூய்மைப்படுத்தல் நடவடிக்கைகளைப் பின்பற்றுமாறு பரிந்துரைக்கப்படுகிறது:
1. Bar counter and stools to be sanitized properly.	1. மது வழங்குமிடம் மற்றும் இருக்கைகள் சரியாக சுத்தம் செய்யப்பட வேண்டும்.
2. Bar equipment like shakers, blenders, mixers and peg measurers to be cleaned.	2. குலுக்கிகள், கலக்கிகள், கலப்பான்கள், பெக் அளவிடு கருவிகள் போன்ற மதுநிலைய உபகரணங் கள் சுத்தம் செய்யப்பட வேண்டும்.
3. Ice container trolley to be washed and sanitized.	3. பனிக்கட்டிக் கலத் தள்ளுவண்டி கழுவப்பட்டு சுத்தப்படுத்தப்பட வேண்டும்.
4. All the alcoholic and non-alcoholic bottles to be sanitized with food grade disinfectant.	4. அனைத்து ஆல்கஹால் கொண்ட, ஆல்கஹால் கொள்ளாத பாட்டில்களும் தரமான கிருமிநாசினியால் சுத்திகரிக்கப்பட வேண்டும்.
5. All the glassware to be appropriately cleaned and disinfected.	5. அனைத்து கண்ணாடிப் பொருட்களும் சரியான முறையில் சுத்தம் செய்யப்பட்டு கிருமி நீக்கம் செய்யப்பட வேண்டும்.
6. It is recommended to follow FSSAI guidelines for handling of beverages.	6. பானங்களைக் கையாள fssai வழிகாட்டுதல் களைப் பின்பற்ற வேண்டும்.
Suggested cleaning process:	பரிந்துரைக்கப்படும் துப்புரவுச் செயல்முறை:
Restaurant Areas	உணவக இடங்கள்
