Guidance Document 	வழிகாட்டி ஆவணம்
[Restaurant]	[உணவகம்]
System for Assessment, Awareness and Training for Hospital Industry.	மருத்துவமனை தொழிலுக்கு மதிப்பீடு, விழிப்புணர்வு மற்றும் பயிற்சிக்கான அமைப்பு.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
1 |	1 |
Management Commitment	மேலாண்மைப் பொறுப்பு
The Restaurant, through its top management, must be committed to safeguard its work areas, employees, guests, contractors, suppliers and other stakeholders from the COVID-19 pandemic and also to maintain business continuity by mitigating risks.	உணவகம், அதன் உயர் நிர்வாகத்தின் மூலம், அதன் பணி பகுதிகள், ஊழியர்கள், விருந்தினர்கள், ஒப்பந்தக்காரர்கள், சப்ளையர்கள் மற்றும் பிற பங்குதாரர்களை COVID-19 தொற்றுநோயிலிருந்து பாதுகாக்கவும், அபாயங்களைத் தணிப்பதன் மூலம் வணிக தொடர்ச்சியைப் பராமரிக்கவும் கடமைப்பட்டிருக்க வேண்டும்.
1.1|	1.1 |
Regulatory Aspects	ஒழுங்குமுறை அம்சங்கள்
The Restaurant must follow all regulatory and statutory compliances related to COVID 19.	COVID 19 தொடர்பான அனைத்து ஒழுங்குமுறை மற்றும் சட்டரீதியான இணக்கங்களையும் உணவகம் பின்பற்ற வேண்டும்.
1.1.1|	1.1.1 |
1. The Restaurant shall identify all regulatory guidance (respective local, State or Central Government regulations and FSSAI directives) in order to establish the safety and hygiene conditions/protocols in its restaurant, implement it effectively and review it time to time to keep it current.	1. உணவகம் அதன் உணவகத்தில் பாதுகாப்பு மற்றும் சுகாதார நிலைமைகள் / நெறிமுறைகளை நிறுவுவதற்கும், அதை திறம்பட செயல்படுத்துவதற்கும், அதை நடப்புடன் வைத்திருக்க அவ்வப்போது மதிப்பாய்வு செய்வதற்கும் அனைத்து ஒழுங்குமுறை வழிகாட்டுதல்களையும் (அந்தந்த உள்ளூர், மாநில அல்லது மத்திய அரசு விதிமுறைகள் மற்றும் FSSAI உத்தரவுகள்) அடையாளம் காணும். .
2. Restaurants in containment zones shall remain closed. Only those outside containment zones will be allowed to open. Takeaways to be encouraged instead of dine-in.	2. கட்டுப்பாட்டு மண்டலங்களில் உள்ள உணவகங்கள் மூடப்படாமல் இருக்கும். கட்டுப்பாட்டு மண்டலங்களுக்கு வெளியே உள்ளவர்கள் மட்டுமே திறக்க அனுமதிக்கப்படுவார்கள். உணவருந்துவதற்குப் பதிலாக பயணங்களை ஊக்குவிக்க வேண்டும்.
3. Gaming Arcades/Children play areas (wherever applicable) shall remain closed till as advised.	3. (பொருந்தும் தன்மைப்படி) விளையாட்டு நடைகள்/ குழந்தைகள் விளையாடும் பகுதிகள் அடுத்த அறிவிப்பு வரை மூடப்படும்.
1.2|	1.2 |
Rapid Response Personnel	அதிவிரைவு எதிர்வினையாளர்
A senior resource to be nominated who will handle all COVID related situations in the Restaurant.	உணவகத்தில் COVID தொடர்பான அனைத்து சூழ்நிலைகளையும் கையாளும் ஒரு மூத்த ஆதாரம் பரிந்துரைக்கப்பட வேண்டும்.
1.2.1|	1.2.1 |
1. The Restaurant shall nominate a senior resource to oversee the COVID-19 crisis.	1. COVID-19 நெருக்கடியை மேற்பார்வையிட உணவகம் ஒரு மூத்த வளத்தை பரிந்துரைக்கும்.
2. Name, Designation and contact information of the nominated senior person shall be communicated to all concerned.	2. பரிந்துரைக்கப்பட்ட மூத்த அதிகாரியின் பெயர், பதவி மற்றும் அவரது தொடர்புத் தகவல்கள் சம்பந்தப்பட்ட அனைவருக்கும் தெரிவிக்கப்படும்.
3. The nominated person shall be responsible to prevent incidents, effectively manage cases and mitigate impact among guests, staff and other involved parties.	3. நியமிக்கப்பட்ட அதிகாரி, நோய்த் தாக்குதல்களைத் தடுக்கவும், பாதிக்கப்பட்டவர்களைத் திறம்படக் கையாளவும், விருந்தினர்கள்- ஊழியர்கள் மற்றும் தொடர்புடைய அனைவரிடமும் நோய்த்தாக்கத்தைக் குறைக்கவும் பொறுப்பேற்பார்.
1.3|	1.3 |
Adequacy of Resources	மூலவளங்களின் போதிய தன்மை
Making resources available all the time to minimize risks and ensure business continuity.	அபாயங்களைக் குறைப்பதற்கும் வணிக தொடர்ச்சியை உறுதி செய்வதற்கும் எல்லா நேரங்களிலும் ஆதாரங்களை கிடைக்கச் செய்தல்.
1.3.1|	1.3.1 |
1. The Restaurant shall ensure that only adequate human resources have been deployed (section-wise, if needed).	1. போதுமான மனித வளங்கள் மட்டுமே பயன்படுத்தப்பட்டுள்ளன என்பதை உணவகம் உறுதி செய்யும் (பிரிவு வாரியாக, தேவைப்பட்டால்).
2. The Restaurant shall ensure adequate availability of necessary equipment, PPEs(Masks, gloves or other protective equipment as applicable), sanitizers, facility of hand-wash at proper locations, arrangement for social distancing etc. including proactive replenishment. For example:	2. தேவையான உபகரணங்கள், பிபிஇக்கள் (முகமூடிகள், கையுறைகள் அல்லது பிற பாதுகாப்பு உபகரணங்கள் பொருந்தக்கூடியவை), துப்புரவுப் பணியாளர்கள், சரியான இடங்களில் கை கழுவுவதற்கான வசதி, சமூக ரீதியான மறுசீரமைப்பு உள்ளிட்டவற்றை உணவகம் உறுதி செய்யும். உதாரணத்திற்கு:
- Thermal Gun thermometer for temperature checking of staff and guests at all entry points.	- அனைத்து நுழைவிடங்களிலும் ஊழியர்கள் மற்றும் விருந்தினர்களின் வெப்பநிலைச் சோதனைக்கான துப்பாக்கி வெப்பமானி.
- Hand-wash soap, Hand Sanitizers, Hand Gloves, Masks, coveralls (as needed)	- (தேவைக்கேற்ப) கை கழுவும் சோப்பு, கை சுத்திகரிப்பான்கள், கையுறைகள், முகமூடிகள், போர்த்தும் உடைகள்
- Garbage Bags (separate bio-hazard bags for used masks and other PPEs as per CPCB’s guidelines)	- குப்பைப் பைகள் (மத்தியஅரசு மாசுக்கட்டுப்பாட்டு வாரியத்தின் நெறிமுறைப்படி, பயன்படுத்தப்பட்ட முகமூடிகள் மற்றும் பிற தனிநபர் பாதுகாப்புக் கருவிகளுக்கான தனி அபாயப் பைகள்)
- Sufficient disinfectants like sodium hypochlorite (1%)	- சோடியம் ஹைபோகுளோரைட் (1%) போன்ற போதுமான கிருமிநாசினிகள்
- Gowns/ Aprons & Personal Protective Gears as applicable.	- கவுன்கள் / ஏப்ரன்கள் மற்றும் தனிப்பட்ட பாதுகாப்பு கியர்கள் பொருந்தும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
2|	2 |
Hygiene & Sanitization	சுகாதாரமும் தூய்மைப்படுத்தலும்
